da	dafolion	Dana Library Oversize N
da	dapern	Dana Library Periodicals N
da	dapermres	Dana Library Permanent Reserve
da	dacamoesc	Dana Library Portuguese Cultural Heritage Room (Dana) C
da	darefcomn	Dana Library Reference Computer Files
da	darefdeskn	Dana Library Reference Desk
da	dadocrefn	Dana Library Reference Government Documents N
da	darefn	Dana Library Reference N
da	dadocusrn	Dana Library Reference US Government Documents N
da	dareserve	Dana Library Reserve
da	daspecoln	Dana Library Special Collections
da	dastakcomc	Dana Library Stacks Computer Files C
da	dastackn	Dana Library Stacks N
da	dastackr	Dana Library Stacks R
da	dastackv	Dana Library Stacks V
da	dadocus0	Dana Library US Government Documents 0
da	dadocusn	Dana Library US Government Documents N
da	dadocusy	Dana Library US Government Documents Y
da	davideo0	Dana Library Videotapes
dg	dgcassetn	Douglass Library Audio Cassettes N
dg	dgcassetv	Douglass Library Audio Cassettes V
dg	dgcdiscc	Douglass Library Audio Compact Discs C
dg	dgcdiscg	Douglass Library Audio Compact Discs G
dg	dgcdiscn	Douglass Library Audio Compact Discs N
dg	dgcdiscv	Douglass Library Audio Compact Discs V
dg	dgavkity	Douglass Library Audiovisual Kits
dg	dgcirdeskq	Douglass Library Circulation Desk
dg	dgdvdc	Douglass Library Digital Video Discs C
dg	dgdvdn	Douglass Library Digital Video Discs N
dg	dgdvdp	Douglass Library Digital Video Discs P
dg	dgdvdv	Douglass Library Digital Video Discs V
dg	dgfilmn	Douglass Library Films
dg	dgmfichn	Douglass Library Microfiche Materials
dg	dgmfilmn	Douglass Library Microfilm Materials
dg	dgflmpern	Douglass Library Microfilm Periodicals
dg	dgmediafo4	Douglass Library Oversize Media Collection 4
dg	dgmediafoc	Douglass Library Oversize Media Collection C
dg	dgmediafog	Douglass Library Oversize Media Collection G
dg	dgmediafov	Douglass Library Oversize Media Collection V
dg	dgxfon	Douglass Library Oversized Rare Books
dg	dgpalrefn	Douglass Library Performing Arts Library Reference
dg	dgpern	Douglass Library Periodicals
dg	dgxn	Douglass Library Rare Books
dg	dgrefn	Douglass Library Reference
dg	dgreserve	Douglass Library Reserve
dg	dgslidev	Douglass Library Slides
dg	dgstackn	Douglass Library Stacks N
dg	dgvdiscn	Douglass Library Video Laser Discs N
dg	dgvideov	Douglass Library Videotapes
dg	dgdiscr	Douglass Library Vinyl LP Records R
dg	dgdiscv	Douglass Library Vinyl LP Records V
hu	huarchivn	Hungarian Foundation Archives
hu	hucassetr	Hungarian Foundation Audio Cassettes R
hu	hucdiscg	Hungarian Foundation Audio Compact Discs G
hu	hudvdv	Hungarian Foundation Digital Video Discs V
hu	hujuvc	Hungarian Foundation Juvenile Materials Collection C
hu	humssn	Hungarian Foundation Manuscript Collection
hu	humpcasen	Hungarian Foundation Map Case
hu	humapn	Hungarian Foundation Map Collection N
hu	humfilmn	Hungarian Foundation Microfilm Materials
hu	huflmpern	Hungarian Foundation Microfilm Periodicals
hu	hunewspapn	Hungarian Foundation Newspaper Collection
hu	hustkakcomn	Hungarian Foundation None
hu	hufolion	Hungarian Foundation Oversize
hu	huxfon	Hungarian Foundation Oversized Rare Books
hu	hupern	Hungarian Foundation Periodicals
hu	huxn	Hungarian Foundation Rare Books
hu	hurefn	Hungarian Foundation Reference N
hu	hustackc	Hungarian Foundation Stacks C
hu	hustackn	Hungarian Foundation Stacks N
hu	hutsdepn	Hungarian Foundation Technical Services Department
hu	huvideo0	Hungarian Foundation Videotapes
hu	hudiscn	Hungarian Foundation Vinyl LP Records
ja	jaarchivn	Jazz Studies Archives
ja	jacassetn	Jazz Studies Audio Cassettes
ja	jacdiscn	Jazz Studies Audio Compact Discs
ja	jacdfon	Jazz Studies Audio Compact Discs Oversized
ja	jatapen	Jazz Studies Audio Tapes
ja	jadvdn	Jazz Studies Digital Video Discs
ja	jadiscogn	Jazz Studies Discography Collection
ja	jadiscn	Jazz Studies Discs
ja	jalpfon	Jazz Studies Discs Oversized
ja	jaflmpern	Jazz Studies Microfilm Periodicals
ja	jascoresn	Jazz Studies Music Scores
ja	janewsletn	Jazz Studies Newsletter Collection
ja	jafolion	Jazz Studies Oversize
ja	japern	Jazz Studies Periodicals
ja	japerclon	Jazz Studies Periodicals in Closed Stacks
ja	jaxn	Jazz Studies Rare Books
ja	jarefn	Jazz Studies Reference
ja	jarefdeskn	Jazz Studies Reference Desk
ja	jastackn	Jazz Studies Stacks
ja	javdiscn	Jazz Studies Video Laser Discs
ja	javideon	Jazz Studies Videotapes
lac	CAREER	Law Library Camden Career Planning
lac	CIRC	Law Library Camden Circulation Desk
lac	CIVILPRAC	Law Library Camden Civil Practice Clinic
lac	FACOFFICE	Law Library Camden Faculty Office
lac	FIFTH	Law Library Camden Fifth Floor
lac	FIFTHCIRC	Law Library Camden FifthCirc
lac	FOURTH	Law Library Camden Fourth Floor
lac	FOURTHCIRC	Law Library Camden FourthCirc
lac	GINSBURG	Law Library Camden Ginsburgs
lac	LAWGEN	Law Library Camden Law General Collection
lac	LEISURE	Law Library Camden Leisure Reading
lac	MICRO	Law Library Camden Microfiche
lac	NJGOVDOC	Law Library Camden NJ Government Documents
lac	ICLE	Law Library Camden NJ ICLE
lac	PERIODICAL	Law Library Camden Periodicals
lac	REF	Law Library Camden Reference Collection
lac	REFDESK	Law Library Camden Reference Desk
lac	RESERVE	Law Library Camden Reserve
lac	RESERVE510	Law Library Camden Reserve 510
lac	RESERVECD	Law Library Camden Reserve CD
lac	RESERVEDVD	Law Library Camden Reserve DVD
lac	SCLAWCIRC	Law Library Camden Robert F. Williams SCLawCirc
lac	SCLAW	Law Library Camden Robert F. Williams State Constitutional Law Collection
lac	ROOM316	Law Library Camden Room 316
lac	ROOM326	Law Library Camden Room 326
lac	ROOM328	Law Library Camden Room 328
lac	ROOM334	Law Library Camden Room 334
lac	TAXALCOVE	Law Library Camden Tax Alcove
lac	THIRD	Law Library Camden Third Floor
lac	THIRDCIRC	Law Library Camden ThirdCirc
lan	CAREER	Law Library Newark Career Corner
lan	CRIMJUST	Law Library Newark Criminal Justice
lan	CJLPER	Law Library Newark Criminal Justice Library Periodicals
lan	CJLREF	Law Library Newark Criminal Justice Library Reference
lan	ELDER	Law Library Newark Elder Law Collection
lan	FACARCH	Law Library Newark Faculty Archives
lan	FACOFFICE	Law Library Newark Faculty Office
lan	LAWGEN	Law Library Newark Law General Collection
lan	LAWGENCIRC	Law Library Newark Law General Collection Circ
lan	LIBOFFICE	Law Library Newark Library Offices
lan	MAGAZINE	Law Library Newark Magazine Rack
lan	MICRO	Law Library Newark Microfiche
lan	NJGOVDOC	Law Library Newark NJ Government Documents
lan	NJREFRM	Law Library Newark NJ Reference
lan	PERIODICAL	Law Library Newark Periodicals
lan	RARE	Law Library Newark RareBookCollection
lan	REF	Law Library Newark Reference Collection
lan	RESERVE	Law Library Newark Reserve
lan	FLASHCD	Law Library Newark Reserve Flash CD
lan	RSTUDYAID	Law Library Newark Reserve RSTUDYAID
lan	DOCREF	Law Library Newark US Government Documents Reference
an	anstackn	Library Annex Stacks N
an	anstacky	Library Annex Stacks Y
ls	lscirdeskq	Library of Science & Medicine Circulation Desk
ls	lsdocuscoc	Library of Science & Medicine Computer File US Government Documents C
ls	lsdocuscon	Library of Science & Medicine Computer File US Government Documents N
ls	lsdocuscov	Library of Science & Medicine Computer File US Government Documents V
ls	lsdocuscoy	Library of Science & Medicine Computer File US Government Documents Y
ls	lsdocfon	Library of Science & Medicine Documents Folio Collection N
ls	lsdocn	Library of Science & Medicine Government Documents N
ls	lsdocy	Library of Science & Medicine Government Documents Y
ls	lsmapn	Library of Science & Medicine Map Collection
ls	lsdocusman	Library of Science & Medicine Map US Government Documents
ls	lsmedtxtm	Library of Science & Medicine Medical Textbooks Collection
ls	lsmfichn	Library of Science & Medicine Microfiche Periodicals
ls	lsmfilmn	Library of Science & Medicine Microfilm Periodicals
ls	lsdocusmn	Library of Science & Medicine Microform US Government Documents
ls	lsdocnjn	Library of Science & Medicine NJ Government Documents N
ls	lsdocnjfon	Library of Science & Medicine NJ Government Documents Oversize
ls	lsdocnjy	Library of Science & Medicine NJ Government Documents Y
ls	lsreffon	Library of Science & Medicine Oversize Reference
ls	lsdocusfon	Library of Science & Medicine Oversized US Government Documents N
ls	lspern	Library of Science & Medicine Periodicals
ls	lspermres	Library of Science & Medicine Permanent Reserve
ls	lsrecreado	Library of Science & Medicine Recreational Reading Collection
ls	lsrefcomn	Library of Science & Medicine Reference Computer Files N
ls	lsrefmapn	Library of Science & Medicine Reference Map Collection
ls	lsrefmfn	Library of Science & Medicine Reference Microforms
ls	lsrefn	Library of Science & Medicine Reference N
ls	lsdocusrn	Library of Science & Medicine Reference US Government Documents
ls	lsreserve	Library of Science & Medicine Reserve
ls	lsstackn	Library of Science & Medicine Stacks N
ls	lsstackq	Library of Science & Medicine Stacks Q
ls	lsstacky	Library of Science & Medicine Stacks Y
ls	lsdocusn	Library of Science & Medicine US Government Documents N
ls	lsdocusy	Library of Science & Medicine US Government Documents Y
ma	macirdeskq	Math & Physics Library Circulation Desk
ma	marefcomn	Math & Physics Library Computer File Reference
ma	mapern	Math & Physics Library Periodicals
ma	mapermres	Math & Physics Library Permanent Reserve
ma	marefn	Math & Physics Library Reference
ma	mareserve	Math & Physics Library Reserve
ma	mastakcomc	Math & Physics Library Stacks Computer Files C
ma	mastacks	Math & Physics Library Stacks S
rw	rwadmdepn	Robert Wood Johnson Library Administration
rw	rwconhealn	Robert Wood Johnson Library Consumer Health
rw	rwmedia7	Robert Wood Johnson Library Media 7
rw	rwmediab	Robert Wood Johnson Library Media B
rw	rwmedian	Robert Wood Johnson Library Media N
rw	rwmediav	Robert Wood Johnson Library Media V
rw	rwpern	Robert Wood Johnson Library Periodicals
rw	rwpermthen	Robert Wood Johnson Library Permanent Reserve Theses Collection
rw	rwrefn	Robert Wood Johnson Library Reference
rw	rwrefdeskn	Robert Wood Johnson Library Reference Desk
rw	rwstackm	Robert Wood Johnson Library Stacks M
rw	rwstoragen	Robert Wood Johnson Library Storage Room
rw	rwtsdepn	Robert Wood Johnson Library Technical Services Department
ca	cacirdeskq	Robeson Library Circulation Desk
ca	caellc	Robeson Library English Language Learners
ex	exhibits	Robeson Library Exhibits
ca	cadocmfn	Robeson Library Government Documents Microform
ca	camediac	Robeson Library Media C
ca	camfichn	Robeson Library Microfiche Materials
ca	camfilmn	Robeson Library Microfilm Materials
ca	caflmpern	Robeson Library Microfilm Periodicals
ca	capern	Robeson Library Periodicals N
ca	capermres	Robeson Library Permanent Reserve
ca	carecreado	Robeson Library Recreational Reading Collection
ca	carefcomn	Robeson Library Reference Computer Files N
ca	carefdeskn	Robeson Library Reference Desk N
ca	carefn	Robeson Library Reference N
ca	careserve	Robeson Library Reserve
ca	caxn	Robeson Library Special Collections N
ca	castackn	Robeson Library Stacks N
si	siadmdepn	Smith Library Administration
si	siarchivn	Smith Library Archives
si	siauddigr	Smith Library Audio Digest R
si	sihomclasn	Smith Library History of Medicine - Classics
si	sihomhistm	Smith Library History of Medicine - History M
si	sihomhistn	Smith Library History of Medicine - History N
si	sihomnjn	Smith Library History of Medicine - New Jersey
si	sihomnjrn	Smith Library History of Medicine - New Jersey - Rare Books
si	sihomparn	Smith Library History of Medicine - Parsonnet
si	sihomraren	Smith Library History of Medicine - Rare Books
si	sihomrar1n	Smith Library History of Medicine - Rare Books - 19th Century
si	simedia0	Smith Library Media 0
si	simedia4	Smith Library Media 4
si	simedia7	Smith Library Media 7
